155,128,0
183,134,0
181,60,1
161,106,0
144,125,0
181,93,1
137,119,0
196,79,1
137,73,0
198,112,1
175,51,1
141,74,0
169,89,0
180,107,0
165,49,1
149,79,0
162,122,0
154,134,0
192,49,1
180,106,0
184,62,1
149,85,0
199,114,1
174,133,0
192,82,1
151,140,0
189,89,1
157,74,0
194,44,1
142,55,1
178,110,0
188,87,1
153,44,1
164,106,0
185,81,1
155,56,1
197,56,1
155,49,1
176,147,0
180,133,0
136,106,0
176,97,0
160,63,1
170,61,1
164,139,0
174,133,0
159,98,0
155,116,0
148,113,0
142,46,1
198,80,1
161,94,0
153,41,1
156,46,1
167,83,0
136,78,0
144,54,1
187,92,1
179,90,1
191,126,0
169,120,0
193,76,1
180,112,0
155,135,0
165,74,1
188,42,1
179,143,0
178,49,1
136,45,1
183,121,0
181,40,1
139,78,0
150,51,1
186,123,0
197,142,0
190,120,0
179,77,1
155,80,0
187,132,0
151,130,0
164,74,1
186,47,1
180,119,0
146,127,0
184,146,0
184,112,0
157,141,0
163,61,1
199,67,1
190,149,0
166,86,0
151,108,0
189,136,0
149,132,0
136,53,1
174,72,1
194,89,1
160,70,1
183,141,0
141,118,0
