171,110,-1
157,90,-1
164,115,-1
182,75,1
160,103,-1
199,68,1
152,103,-1
179,67,1
164,83,1
167,102,-1
167,77,1
165,87,1
182,88,1
190,70,1
192,88,1
175,75,1
178,85,1
184,84,1
157,113,-1
157,95,-1
193,66,1
180,80,1
189,75,1
190,89,1
198,95,1
187,119,-1
167,89,1
174,71,1
160,114,-1
164,114,-1
160,96,-1
150,104,-1
178,76,1
199,93,1
194,112,-1
151,75,1
167,70,1
174,72,1
161,107,-1
164,70,1
182,113,-1
157,79,1
157,108,-1
150,68,1
182,78,1
193,65,1
182,73,1
183,87,1
156,66,1
187,78,1
